StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label
2011/08/10 12:19:39.181810,0.000351,udp,10.0.0.7,33643,  <->,147.32.80.9,53,CON,0.0,0.0,2,326,86,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/10 12:19:39.182500,0.000343,udp,10.0.0.7,43214,  <->,147.32.80.9,53,CON,0.0,0.0,2,294,78,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/10 12:19:42.239952,0.000366,udp,10.0.0.7,45697,  <->,147.32.80.9,53,CON,0.0,0.0,2,306,78,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/10 12:19:42.240518,0.000231,udp,10.0.0.7,47220,  <->,147.32.80.9,53,CON,0.0,0.0,2,294,78,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/10 12:22:02.660649,0.046706,udp,10.0.0.7,60463,  <->,147.32.80.9,53,CON,0.0,0.0,2,293,76,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/10 12:22:02.707634,3589.739014,tcp,10.0.0.7,59929,   ->,81.2.225.29,22,SPA_SPA,0.0,0.0,273,36123,10469,flow=Background-TCP-Established
2011/08/10 12:28:40.859570,0.028514,udp,10.0.0.7,46978,  <->,147.32.80.9,53,CON,0.0,0.0,2,277,74,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/10 12:28:40.859578,0.02885,udp,10.0.0.7,56745,  <->,147.32.80.9,53,CON,0.0,0.0,2,198,74,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/10 12:28:40.859619,0.078512,udp,10.0.0.7,40563,  <->,147.32.80.9,53,CON,0.0,0.0,2,314,86,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/10 12:28:40.861741,0.076405,udp,10.0.0.7,35174,  <->,147.32.80.9,53,CON,0.0,0.0,2,231,86,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/10 12:28:40.862085,0.000577,udp,10.0.0.7,57288,  <->,147.32.80.9,53,CON,0.0,0.0,2,355,80,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/10 12:28:40.863300,0.020598,udp,10.0.0.7,57188,  <->,147.32.80.9,53,CON,0.0,0.0,2,219,80,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/10 12:28:40.884030,0.00039,udp,10.0.0.7,39990,  <->,147.32.80.9,53,CON,0.0,0.0,2,236,93,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/10 12:28:40.888580,0.000333,udp,10.0.0.7,47710,  <->,147.32.80.9,53,CON,0.0,0.0,2,224,87,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/10 12:28:40.938342,0.000172,udp,10.0.0.7,47161,  <->,147.32.80.9,53,CON,0.0,0.0,2,248,99,flow=To-Background-UDP-CVUT-DNS-Server
